Reporting.Org.on.Registry,Reporting.Orgs.in.Data
NL-KVK-70292361,NL-KVK-53744993
PK-VSWA-511-2007,PK-VSWA-511-2007
KE-NGC-9381,KE-NCB-9381
FR-SIRET-4028868160030,FR-RCS-402886816
CA-CRA_ACR-107848319,CA-CRA_ACR-10784-8319-RR0001
NP-IRD-302113730,XI-IATI-NP-IRD-302113730
GB-COH-01846493,GB-COH-01846493
GB-CHC-1064413,GB-CHC-1064413
FR-3,FR-3
BJ-IFU-4201710182326,bj-IFU-4201710182326
NL-KVK-27327087,NL-KVK-27327087
US-EIN-23-1352010,NL-KVK-41149831
NL-KVK-40530953,Amnesty
KE-NCB-21805120080955572,KE-NCB-OP.218/051/2008/095/5572
UG-NGO-3329,UG-NGB-3329
LB-MOI-26_AD,LB-MOI-26_AD
FR-RCS-49962201700014,FR-INSEE-S499622017
NL-CCI-20081098,GB-CHC-1115482
XI-GRID-grid.52681.38,BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142
GB-CHC-298316,GB-CHC-298316
GB-CHC-292506,GB-CHC-202615
XM-DAC-46009,XI-IATI-46009
NG-CAC-54522,NG-CAC-54522
TZ-TRA-121406209,TZ-TRA-121-406-209
47135,47134
NL-KVK-54436222,NL-KVK-54436222
GB-CHC-1055436,GB-CHC-1055436
IN-MCA-AAE-8458,IN-MCA-IN-MCA-AAE-8458
GPAF-IMP-031,MW-CNM-21
BD-NAB-0682,BD-NAB-682
PK-SEC-0080655,PK-SEC-0080655
ET-CSA-0062,ET-CSA-8744
KE-RCO-270901,KE-KROS-270901
RW-RGB-002-RGB-NGO-2017,RW-RGB-002RGB17
TR-MOI-27-019-074,TR-MOI-27-019-074
GB-COH-3578127,GB-CH-3578127-LACA
ET-MOT-020/4/007,ET-MOT-020/4/007
CH-FDJP-CHE109947366,CH-FDJP-f7f0b51e-7432-4c0c-a6c0-7df1101d7983
FR-6,FR-6
AR-CENOC-16969-A,XI-IATI-359A08
CO-RUE-860049972,CO-CCB-CO-RUE-860049972
XI-BRIDGE-6385676864,XI-BRIDGE-6385676864
US-EIN-27-3166994,US-EIN-273166994
XM-DAC-47501,XM-DAC-44101
XI-GRID-grid.442626.0,XI-IATI-XI-GRID-grid.442626.0
GB-CHC-1082565,FR-PDR-W691075333
US-EIN-30-0739799,US-EIN-US-EIN-300739799
XI-IATI-035026724,AT-LPD-035026724
GB-COH-04161656,GB-CH-4161656
US-EIN-27-4933181,US-EIN-27-49-33181
MX-RFC-IIN920701G55,XI-IATI-MX-RFC-IIN920701G55
MX-RFC-ICM160118IZ1,XI-IATI-MX-RFC-ICM160118IZ1
XI-IATI-IADB,IADB
GB-COH-2153193,GB-COH-2153193
XI-GRID-grid.419346.d,XI-IATI-XI-GRID-grid.419346.d
dk-cvr-26487013,DK-CVR-26487013
XM-DAC-47064,XI-PB-402
GB-CHC-229476,GB-CHC-21023
XM-DAC-30011,RW-MINAFFET-0766/09.06/32/16
TZ-TRA-102316134,TZ-TRA-102-316-134
NL-KVK-08215619-201210000,NL-KVK-08215619-201210000
ID-KHH-6014052331100057,ID-KHH-ID-KHH-6014052331100057
XI-IATI-KHF,XI-IATI-law22.1999
XM-OCHA-HPC6770,XM-OCHAS-HPC6770
KE-KRA-P051542095J,KE-KRA-p051542095j
NL-KVK-41145371,NL-KVK-41145371
XI-GRID-grid.11194.3c,XI-GRID-XI-GRID-11194.3c-999856601
IN-,mam_in
SL-NRA-1001562-8,SL-NRA-1001562-8
XM-DAC-69-1,XM-DAC-69-0
NL-KvK-41177601,NL-KVK-41177601
GB-CHC-295224,GB-CHC-1176462
NZ-1,NZ-1
DK-CVR-37295728,DK-CVR-73432219
ZA-CIP-2005-028883-23,XI-IATI-ZA-CIP-2005-028883-23
IM-CR-024714B,IM-CR-024714B
IN-MCA-U74999DL2004NPL131340,IN-MCA-U74999DL2004NPL131340
GB-COH-03122495,GB-COH-03122495
US-EIN-13-2702768,US-EIN-13-2702768
GB-COH-2394229,GB-COH-02394229
KE-NCB-KENCBOP218051200802235390,KE-NCB-KE-NCB-KENCBOP218051200802235390
NL-KVK-30214009,EIGEN
GB-CHC-1123241,GB-COH-1123241
GB-CHC-1126550,GB-CHC-1126550
21032,XI-IATI-21032
GB-CHC-294329,GB-CHC-294329
NL-KVK-34200988,NL-KVK-34200988
KR-GOV-010,KR-GOV-010
CH-FDJP-CHE232974628,CH-FDJP-CHE23974628
GH-DSW-4711,GH-DSW-4711
GB-SC-SC035314,GB-SC-035314
BE-BCE_KBO-0453475391,BE-BCE_KBO-0453475391
ET-CSA-0638,ET-CSA-0638
SACU,sacu
GB-CHC-1076497,GB-CHC-1076497
XM-OCHA-FTS18563,XM-OCHA-FTS18563
BJ-IFU-3200700033415,BJ-IFU-32000700033415
FR-RCS-389515180,FR-INSEE-389515180
NP-SWC-37725,NP-CRO-601371123
XI-IATI-5914-1107,UG-NGB-5914-1107
CH-4,CH-4
FR-RCS-83764263600018,FR-INSEE-83764263600018
US-EIN-941191246,US-AGO-941191246
BJ-IFU-6201408024805,BJ-IFU-4201710012551
CO-CCB-S0052181,XI-IATI-901057447-2
BD-NAB-1301,1301
TZ-BRE-63966,TZ-BRE-63966
GB-9,GB-GOV-9
GB-GOV-1,GB-GOV-1
