year,reporting_org_ref,value_usd
2020,GB-GOV-6,2676476.10377985
2019,GB-GOV-6,295767936.795862
2018,GB-GOV-6,180969430.300474
2017,GB-GOV-6,7763550.64151403
2016,GB-GOV-6,7378962.23763813
2020,KE-NCB-OP/218/051/924/84,1171365.2698632
2019,KE-NCB-OP/218/051/924/84,1002367.63285525
2018,KE-NCB-OP/218/051/924/84,74270.9660474426
2020,GB-COH-294860,498487.27868443
2019,GB-COH-294860,489909.192130437
2018,GB-COH-294860,4882993161803.25
2017,GB-COH-294860,796774350134.135
2016,GB-COH-294860,4965178.37347347
2015,GB-COH-294860,639957.171703276
2014,GB-COH-294860,614991.094898561
2013,GB-COH-294860,1397841.05768921
2012,GB-COH-294860,35354.4530409367
2015,IM-CR-024714B,14414114.0579418
2014,IM-CR-024714B,9118737.92932779
2013,IM-CR-024714B,9967670.32959111
2012,IM-CR-024714B,2973638.12031417
2011,IM-CR-024714B,8402387.07360811
2010,IM-CR-024714B,1628307.24495615
2005,IM-CR-024714B,590586.29181679
2004,IM-CR-024714B,2968308.50927721
2020,US-EIN-26-1931968,185443.82
2019,US-EIN-26-1931968,532669.44
2018,US-EIN-26-1931968,653077.034113171
2017,US-EIN-26-1931968,402085.32
2016,US-EIN-26-1931968,573767.371207998
2015,GB-CHC-1125512,31779.6711800134
2014,GB-CHC-1125512,63035.5391808573
2014,KE-NCB-OP/218/051/915/65,28809483227.3427
2020,NG-CAC-73022,68522090820.3053
2019,NG-CAC-73022,75793576358.8531
2018,NG-CAC-73022,64728285988.2073
2017,NG-CAC-73022,77627588302.1989
2016,NG-CAC-73022,61622807379.2389
2020,NO-BRC-871033552,711012
2019,NO-BRC-871033552,7625847.46179619
2018,NO-BRC-871033552,321217.613290051
2017,NO-BRC-871033552,2097662.86112494
2019,BE-BCE_KBO-0423588904,776991.673857763
2018,BE-BCE_KBO-0423588904,1079281.90525081
2017,BE-BCE_KBO-0423588904,962171.634736026
2020,GB-CHC-1079752,81134.6573492888
2018,GB-COH-03054929,1123209.08518198
2017,GB-COH-03054929,1074204.46086815
2012,GB-COH-1081247    ,8625630.81459926
2020,GB-CHC-1082565,3325107.60068108
2019,GB-CHC-1082565,1401445.25079584
2018,GB-CHC-1082565,270429.485227679
2017,GB-CHC-1082565,107240.409347439
2013,GB-CHC-1078768,375951.367588829
2012,GB-CHC-1078768,867251.859936192
2011,GB-CHC-1078768,482988.142854941
2020,XM-DAC-21033,7081241.60330731
2019,XM-DAC-21033,3695149.27143719
2018,XM-DAC-21033,2219591.43000071
2017,XM-DAC-21033,3128216.59521207
2016,XM-DAC-21033,6230435.89913853
2015,XM-DAC-21033,7003897.85577322
2014,XM-DAC-21033,5686670.14045572
2013,XM-DAC-21033,6372667.97866475
2012,XM-DAC-21033,5856590.82554479
2020,NL-KVK-34111374,5764263.22733459
2019,NL-KVK-34111374,14776740.6393078
2018,NL-KVK-34111374,15615273.7756466
2017,NL-KVK-34111374,13482068.5598263
2016,NL-KVK-34111374,10586879.3068565
2019,BE-BCE_KBO-0460162753,2745667.46488609
2018,BE-BCE_KBO-0460162753,2963202.48582281
2017,BE-BCE_KBO-0460162753,2174879.34047069
2020,GB-CHC-1078803,44831.9838787534
2019,GB-CHC-1078803,16615.8889825503
2018,GB-CHC-1078803,17969.1534001923
2017,GB-CHC-1078803,24348.8238769805
2016,GB-CHC-1078803,66160.9191618103
2015,GB-CHC-1078803,35907.1151159995
2019,XI-IATI-CABI,8507174.02029843
2018,XI-IATI-CABI,9584804.66638782
2017,XI-IATI-CABI,8043911.86405571
2016,XI-IATI-CABI,9618770.95945836
2015,XI-IATI-CABI,1853306.55519831
2020,GB-CHC-1110434,99316.6955194259
2019,GB-CHC-1110434,99415.1027736684
2018,GB-CHC-1110434,40418.0557462142
2017,GB-CHC-1110434,20118.4651324195
2016,GB-CHC-1110434,56733.1511640808
2015,GB-CHC-1110434,61304.9312401382
2019,BE-BCE_KBO-0408656248,2482043.98483083
2018,BE-BCE_KBO-0408656248,2297674.08221627
2017,BE-BCE_KBO-0408656248,2248044.34215554
2017,GB-CHC-1143797,16149652.6454204
2020,CH-FDJP-CHE105834763,231332.222605882
2019,CH-FDJP-CHE105834763,328968.948067949
2018,CH-FDJP-CHE105834763,71994.6868365311
2020,46004,15772035625.83
2019,46004,13674055133.91
2018,46004,11808965016.93
2017,46004,9667488260.11
2016,46004,10696012477.41
2015,46004,10759371347.6915
2014,46004,8859150563.58
2013,46004,46597190292.36
2020,NL-KVK-74064800,183100.17587561
2019,NL-KVK-74064800,63136.050131489
2020,GB-CHC-292506,26818018.0454865
2019,GB-CHC-292506,48487601.7270451
2018,GB-CHC-292506,44398941.9814514
2017,GB-CHC-292506,27776844.1876823
2016,GB-CHC-292506,29310262.344462
2015,GB-CHC-292506,892805.396440013
2020,NL-KVK-30195730,1161913.13739933
2019,NL-KVK-30195730,2023964.72153731
2018,NL-KVK-30195730,1942502.3223348
2017,NL-KVK-30195730,1411685.84128423
2018,NP-SWC-8220,111158788.22314
2018,NL-KVK-34197379,509150.579384705
2017,NL-KVK-34197379,739380.430306212
2016,NL-KVK-34197379,777982.824736823
2020,YE-MSAL-49-M-2019,268179
2020,GB-SC-SC012302,405138.342822828
2019,GB-SC-SC012302,923543.746905926
2018,GB-SC-SC012302,1150788.98446856
2017,GB-SC-SC012302,1409981.2091694
2016,GB-SC-SC012302,670918.726503899
2015,GB-SC-SC012302,271306.383109983
2014,GB-SC-SC012302,126262.535061656
2013,GB-SC-SC012302,96509.1959462919
2020,NL-KVK-41149831,111679.796542438
2019,NL-KVK-41149831,410748.295756196
2018,NL-KVK-41149831,1202563.74798109
2017,NL-KVK-41149831,1109796.78799646
2016,NL-KVK-41149831,56272.483057758
2019,BE-BCE_KBO-0415880570,17474775.6891921
2018,BE-BCE_KBO-0415880570,15353753.0016539
2017,BE-BCE_KBO-0415880570,13381204.5259886
2019,BE-BCE_KBO-0454555163,670247663934.46
2018,BE-BCE_KBO-0454555163,1427372.2592373
2017,BE-BCE_KBO-0454555163,1050239.80832449
2020,GB-COH-03259922,64932054.2125989
2019,GB-COH-03259922,64338317.7609166
2018,GB-COH-03259922,19143098.0864338
2017,GB-COH-03259922,26061534.5740348
2016,GB-COH-03259922,13000951.2184053
2016,GB-CHC-289036,4646.075025382
2015,GB-CHC-289036,8771.05313029532
2014,GB-CHC-289036,8689.08496212565
2013,GB-CHC-289036,5143.93251071532
2017,GB-CHC-1017255,7521.31233439751
2016,GB-CHC-1017255,264628.210342391
2015,GB-CHC-1017255,1544298.99725753
2014,GB-CHC-1017255,264466.774815179
2013,GB-CHC-1017255,320730.494037865
2019,BE-BCE_KBO-0425420917,2724651.88743134
2018,BE-BCE_KBO-0425420917,2379934.73013896
2017,BE-BCE_KBO-0425420917,2635516.10573598
2017,BD-NAB-002,1634618.56035864
2020,GB-COH-3031674,44798.2899415909
2019,GB-COH-3031674,97616.7299251653
2018,GB-COH-3031674,80702.9467627353
2017,GB-COH-3031674,226809.973724754
2016,GB-COH-3031674,227536.203767362
2015,GB-COH-3031674,222747.008900472
2014,GB-COH-3031674,260986.35076835
2013,GB-COH-3031674,377168.387390417
2012,GB-COH-3031674,181674.064102652
2011,GB-COH-3031674,33977.817472445
2020,CZ-ICO-25755277,63703189611393
2019,CZ-ICO-25755277,81687290814779.4
2018,CZ-ICO-25755277,59092861203625.4
2016,CZ-ICO-25755277,12230227.017547
2020,XM-DAC-41127,154142747
2019,XM-DAC-41127,248093259
2018,XM-DAC-41127,257509725
2017,XM-DAC-41127,226858007
2016,XM-DAC-41127,252579509
2020,NZ-1,1070021306.42937
2019,NZ-1,1068343856.21884
2018,NZ-1,996338846.708521
2017,NZ-1,741731852.01816
2016,NZ-1,758049729.854424
2015,NZ-1,752601470.190174
2014,NZ-1,616144340.71116
2013,NZ-1,543932212.105117
2012,NZ-1,432704921.554566
2011,NZ-1,254265942.620296
2010,NZ-1,137192246.867565
2009,NZ-1,128047773.503688
2008,NZ-1,93096195.7817915
2007,NZ-1,38921631.3540641
2006,NZ-1,58392652.471193
2005,NZ-1,34031224.4314457
2004,NZ-1,33223901.3104366
2003,NZ-1,14034080.09122
2002,NZ-1,10274767.2216916
2001,NZ-1,8802018.18004218
2000,NZ-1,8198183.25470613
1999,NZ-1,6665052.78512719
1998,NZ-1,6874989.28814682
1997,NZ-1,3694823.70673112
1996,NZ-1,4625254.24869653
1995,NZ-1,3776236.69991706
2019,XM-DAC-21-1,95438346.4688355
2018,XM-DAC-21-1,669991737.937447
2017,XM-DAC-21-1,658309843.308646
2016,XM-DAC-21-1,655864513.709881
2015,XM-DAC-21-1,583586700.97957
2014,XM-DAC-21-1,462776.604711851
2013,XM-DAC-21-1,354174672.913394
2011,XM-DAC-21-1,71854.0430551274
2005,XM-DAC-21-1,120503.398296757
2018,KE-NCB-200201282375,247511.419871731
2017,KE-NCB-200201282375,402290.864397403
2016,KE-NCB-200201282375,401272.298250362
2020,GB-CHC-1126727,51896.7628843919
2015,GB-CHC-1126727,587935.368846096
2012,GB-CHC-1126727,8742.723689614
2014,US-501c3-522318905,69321218.895
2013,US-501c3-522318905,4434220487.59618
2012,US-501c3-522318905,9756665525.84813
2011,US-501c3-522318905,19726451454.945
2010,US-501c3-522318905,32774611086.8848
2009,US-501c3-522318905,43472996249.7283
2008,US-501c3-522318905,34669714866.6173
2007,US-501c3-522318905,30287132871.3194
2006,US-501c3-522318905,22486302268.7579
2005,US-501c3-522318905,24585248952.5965
2004,US-501c3-522318905,28515078795.4766
2003,US-501c3-522318905,22579229612.8364
2002,US-501c3-522318905,21710092905.5155
2001,US-501c3-522318905,23324883903.5577
2000,US-501c3-522318905,19905692849.8769
1999,US-501c3-522318905,22749187112.4587
1998,US-501c3-522318905,36052654631.6552
1997,US-501c3-522318905,28380679620.9223
1996,US-501c3-522318905,23565670898.6119
1995,US-501c3-522318905,25662694605.6107
1994,US-501c3-522318905,223703445.013144
1993,US-501c3-522318905,205817450.785635
1992,US-501c3-522318905,129395026.91888
1991,US-501c3-522318905,66950079.9934216
1990,US-501c3-522318905,82140847.2928786
1989,US-501c3-522318905,52125109.0605112
1988,US-501c3-522318905,41916015.6237262
1987,US-501c3-522318905,16643424.5793548
1986,US-501c3-522318905,20952093.6240967
1985,US-501c3-522318905,12426684.9163775
1984,US-501c3-522318905,6426886.88476
1983,US-501c3-522318905,13534825.107009
1982,US-501c3-522318905,22810265.1758
1981,US-501c3-522318905,24295417.6065304
2020,GB-COH-04105827,15352290.9440419
2019,GB-COH-04105827,55721648.0786091
2018,GB-COH-04105827,42673937.3067336
2017,GB-COH-04105827,21005804.3162488
2016,GB-COH-04105827,22715238.1955882
2015,GB-COH-04105827,1149932.99019683
2014,GB-COH-04105827,53718.2065513799
2020,NL-KVK-41158230,15287794.4077751
2019,NL-KVK-41158230,13964850.7720915
2018,NL-KVK-41158230,19140799.0402665
2017,NL-KVK-41158230,18652498.8508126
2016,NL-KVK-41158230,2592485.97297194
2020,NL-KVK-30114696,8125288.66827701
2017,GB-CHC-250456,54090.6525519431
2016,GB-CHC-250456,191028.544590893
2015,GB-CHC-250456,256844.967272772
2014,GB-CHC-250456,158584.447088373
2013,GB-CHC-250456,81634.6153129653
2012,GB-CHC-250456,100415.052005883
2011,GB-CHC-250456,46185.573480118
2020,GB-SC-SCO45223,697693.685142825
2019,GB-SC-SCO45223,1482345.58750048
2018,GB-SC-SCO45223,2445525.19382279
2017,GB-SC-SCO45223,2838148.38044553
2016,GB-SC-SCO45223,5309343.37665923
2013,GB-CHC-208724,78058.4945749697
2012,GB-CHC-208724,119461.15752872
2011,GB-CHC-208724,38183.3663317887
2020,GB-CHC-222655,1172280.88973042
2019,GB-CHC-222655,1317993.47980609
2018,GB-CHC-222655,1346732.01305153
2017,GB-CHC-222655,2405226.08229695
2016,GB-CHC-222655,2519584.22971725
2015,GB-CHC-222655,1345357.26098127
2014,GB-CHC-222655,1222095.21851057
2013,GB-CHC-222655,1195086.92289304
2012,GB-CHC-222655,1153900.78146617
2011,GB-CHC-222655,299185.164818758
2020,GB-COH-1762840,5050565.89826689
2019,GB-COH-1762840,12575162.9172167
2018,GB-COH-1762840,10886687.5351219
2017,GB-COH-1762840,17293743.0364534
2016,GB-COH-1762840,18746601.8517373
2015,GB-COH-1762840,15374256.674895
2014,GB-COH-1762840,10044247.3127716
2013,GB-COH-1762840,3698471.55161659
2012,GB-COH-1762840,1120623.11930322
2011,GB-COH-1762840,293782.275057392
2020,GB-CHC-288701,806076.226833635
2019,GB-CHC-288701,11676436.4666302
2018,GB-CHC-288701,27654601.3685724
2017,GB-CHC-288701,29741561.8262
2016,GB-CHC-288701,29718020.3848499
2015,GB-CHC-288701,32106840.1757759
2014,GB-CHC-288701,22589537.6619035
2013,GB-CHC-288701,8464623.13140607
2019,BE-BCE_KBO-0421207751,2154677.36178012
2018,BE-BCE_KBO-0421207751,1880735.50061971
2017,BE-BCE_KBO-0421207751,2001475.7375138
2019,UG-NGB-5914-9186,24091720983214.4
2018,UG-NGB-5914-9186,31161783401809.7
2017,UG-NGB-5914-9186,16842371235139.6
2020,XI-IATI-IADB,9822627637
2019,XI-IATI-IADB,8842642833
2018,XI-IATI-IADB,9863938534
2017,XI-IATI-IADB,8781549757
2016,XI-IATI-IADB,8650910770
2015,XI-IATI-IADB,9015691198
2014,XI-IATI-IADB,8474326028
2013,XI-IATI-IADB,8848508835
2012,XI-IATI-IADB,6204723025
2011,XI-IATI-IADB,7456048218
2010,XI-IATI-IADB,9735012513
2009,XI-IATI-IADB,10167629265
2008,XI-IATI-IADB,4877788337
2007,XI-IATI-IADB,4493961764
2006,XI-IATI-IADB,3645654929
2005,XI-IATI-IADB,2497215120
2004,XI-IATI-IADB,437176070
2020,GB-CHC-285776,10686589.1510548
2019,GB-CHC-285776,10883074.6236254
2018,GB-CHC-285776,9765772.88392203
2017,GB-CHC-285776,9087863.16582353
2016,GB-CHC-285776,4945777.6864444
2015,GB-CHC-285776,3475722.38325003
2014,GB-CHC-285776,2694118.38364665
2013,GB-CHC-285776,1770495.69926055
2012,GB-CHC-285776,920334.452745522
2011,GB-CHC-285776,670415.980876077
2010,GB-CHC-285776,348619.219716532
2009,GB-CHC-285776,286464.920220521
2008,GB-CHC-285776,115115.13451037
2007,GB-CHC-285776,79109.7664708297
2006,GB-CHC-285776,75261.1203725533
2005,GB-CHC-285776,76496.384416555
2004,GB-CHC-285776,79312.0171639063
2003,GB-CHC-285776,64329.5739976348
2002,GB-CHC-285776,13322.9675525698
2001,GB-CHC-285776,68186.9932562552
2000,GB-CHC-285776,33985.5364834894
1998,GB-CHC-285776,11274.8915975038
1997,GB-CHC-285776,11685.8170419909
1996,GB-CHC-285776,10652.1358060766
1995,GB-CHC-285776,10337.4176449195
1994,GB-CHC-285776,9774.82348813012
1993,GB-CHC-285776,8199.13632966638
2020,GB-COH-1110949,14701509.4889621
2019,GB-COH-1110949,10843016.496968
2018,GB-COH-1110949,133340.056765926
2016,ZA-NPO-025-359,355082.208014652
2015,ZA-NPO-025-359,2817099.12592269
2014,ZA-NPO-025-359,1307625.69295948
2013,XI-IATI-46009,33.97
2019,GB-CHC-1114727,22816.2237425798
2018,GB-CHC-1114727,36906.2739439269
2019,GB-COH-06133927,435398.523166086
2018,GB-COH-06133927,2585835.64090585
2017,GB-COH-06133927,2798783.20375512
2020,NL-KVK-41199723,137250.995374789
2019,NL-KVK-41199723,69563.51743432
2014,GB-CHC-281681,20519.4629282149
2013,GB-CHC-281681,35782.3472051719
2012,GB-CHC-281681,43953.8677102219
2011,GB-CHC-281681,15303.3387044056
2018,GB-CHC-1075920,167944.522809417
2017,GB-CHC-1075920,533086.790061925
2016,GB-CHC-1075920,552847.147432567
2015,GB-CHC-1075920,410030.043346208
2014,GB-CHC-1075920,566547.929410953
2013,GB-CHC-1075920,2487481.94832517
2012,GB-CHC-1075920,1891850.26350495
2011,GB-CHC-1075920,240577.479339138
2010,GB-CHC-1075920,26835.472592821
2019,GB-CHC-1001813,3055416.80869719
2018,GB-CHC-1001813,5339137.30484112
2017,GB-CHC-1001813,3890041.86
2018,XM-DAC-47086,10914297.4372855
2017,XM-DAC-47086,24195275.3022254
2016,XM-DAC-47086,103405321.121202
2015,XM-DAC-47086,29610142.741725
2014,XM-DAC-47086,198876601.733547
2013,XM-DAC-47086,249255818.359917
2012,XM-DAC-47086,108658183.061963
2011,XM-DAC-47086,29384131.4345685
2010,XM-DAC-47086,45026275.3334899
2009,XM-DAC-47086,39965035.700153
2008,XM-DAC-47086,11799457.1576632
2007,XM-DAC-47086,23839919.1000606
2006,XM-DAC-47086,4837831.52826304
2005,XM-DAC-47086,27336753.3105244
2004,XM-DAC-47086,644789.226217038
2003,XM-DAC-47086,38860980
2002,XM-DAC-47086,50732772.56
2020,NO-BRC-977538319,11299274091.23
2019,NO-BRC-977538319,8625939233.40381
2018,NO-BRC-977538319,5608463646.74408
2017,NO-BRC-977538319,6528055468.4545
2016,NO-BRC-977538319,2851939345.70446
2015,NO-BRC-977538319,988259282.359998
2014,NO-BRC-977538319,1320376613.69319
2013,NO-BRC-977538319,439021436.367735
2012,NO-BRC-977538319,197788742.713985
2016,GB-CHC-294329,1059223.4649489
2015,GB-CHC-294329,1315653.38873796
2014,GB-CHC-294329,1384669.27821491
2015,US-IRS-13-5661832,138469884.48
2014,US-IRS-13-5661832,393773645.94
2019,GB-CHC-1147298,296970.857952926
2020,NL-KVK-41146484,3512438.42231656
2019,NL-KVK-41146484,4306032.78143381
2018,NL-KVK-41146484,4115107.31854043
2017,NL-KVK-41146484,3360871.41730259
2016,NL-KVK-41146484,1554618.27634267
2020,RW-MINAFFET-0766/09.06/32/16,1755389.49433793
2019,RW-MINAFFET-0766/09.06/32/16,1652378.69400674
2019,BE-BCE_KBO-0460240749,1557839.41009007
2018,BE-BCE_KBO-0460240749,1253797.99610425
2017,BE-BCE_KBO-0460240749,2134385.72321448
2020,KE-NCB-2180511403539790,10839104113.9752
2019,KE-NCB-2180511403539790,8271861535.65136
2020,CH-FDJP-CHE251665168,38000
2019,BE-BCE_KBO-0421210424,6541563.46215495
2018,BE-BCE_KBO-0421210424,6107412.85695351
2017,BE-BCE_KBO-0421210424,6269871.81282805
2020,NL-KVK-41022454,3515100.89989234
2019,NL-KVK-41022454,4444023.34596382
2018,NL-KVK-41022454,18216981589.98
2017,NL-KVK-41022454,3566318521.54448
2016,NL-KVK-41022454,233383.389370975
2015,NL-KVK-41022454,293150.704156426
2014,NL-KVK-41022454,62356.2748630358
2013,NL-KVK-41022454,63531.6311453334
2020,NL-KVK-34159275,1804717.86947791
2019,NL-KVK-34159275,2865585.72248177
2018,NL-KVK-34159275,3379687.39450122
2017,NL-KVK-34159275,3495804.89151599
2016,NL-KVK-34159275,2997544.66985829
2020,CH-FDJP-CHE331930936,81509.9458127945
2019,CH-FDJP-CHE331930936,9977755.40126499
2020,GB-CHC-1837621,69277.9575008185
2019,GB-CHC-1837621,369953.422186548
2018,GB-CHC-1837621,1590835096.75153
2017,GB-CHC-1837621,2142700361.1995
2016,GB-CHC-1837621,3119782298.26596
2015,GB-CHC-1837621,535771.763856676
2014,GB-CHC-1837621,775284.833631825
2013,GB-CHC-1837621,544652.54246575
2012,GB-CHC-1837621,58349.5948904528
2011,GB-CHC-1837621,0
2020,BJ-IFU-32000700033415,12817953563.5462
2019,BJ-IFU-32000700033415,172841549191.72
2017,BJ-IFU-32000700033415,239368108594.329
2020,XI-IATI-EC_ECHO,1515256440.16406
2019,XI-IATI-EC_ECHO,1791243154.61114
2018,XI-IATI-EC_ECHO,1333354027.96941
2017,XI-IATI-EC_ECHO,1998896189.19699
2016,XI-IATI-EC_ECHO,1820007420.05114
2015,XI-IATI-EC_ECHO,1073666747.56467
2014,XI-IATI-EC_ECHO,986623637.439074
2013,XI-IATI-EC_ECHO,779625875.712665
2012,XI-IATI-EC_ECHO,501119142.159889
2020,NL-KVK-56821743,3658171.16180323
2019,NL-KVK-56821743,2838490.95449401
2018,NL-KVK-56821743,2899135.07749125
2020,XI-IATI-MIF,15140458
2019,XI-IATI-MIF,13221988
2018,XI-IATI-MIF,13537060
2017,XI-IATI-MIF,10424318
2016,XI-IATI-MIF,18627588
2015,XI-IATI-MIF,2406000
2014,XI-IATI-MIF,1627474
2013,XI-IATI-MIF,2335092
2012,XI-IATI-MIF,1594347
2011,XI-IATI-MIF,612851
2010,XI-IATI-MIF,3654956
2009,XI-IATI-MIF,4870663
2008,XI-IATI-MIF,1901001
2007,XI-IATI-MIF,566747
2006,XI-IATI-MIF,824605
2005,XI-IATI-MIF,1128194
2020,NL-KVK-41201463,19092070.9599511
2019,NL-KVK-41201463,28241926.0904258
2018,NL-KVK-41201463,35046307.8329525
2017,NL-KVK-41201463,25044506.6305411
2016,NL-KVK-41201463,13295822.0289004
2015,NL-KVK-41201463,214025.461899751
2014,NL-KVK-41201463,129824.155292083
2018,US-EIN-20-3908371,1494233
2017,US-EIN-20-3908371,433760
2018,CH-FDJP-107.856.445,1060473
2016,NL-KVK-32037590,23419.1732547222
2015,NL-KVK-32037590,745866.958656251
2014,NL-KVK-32037590,2655786.56563021
2013,NL-KVK-32037590,1639647.39824952
2012,NL-KVK-32037590,482290.298465235
2018,BE-BCE_KBO-0443262185,364935.973159544
2017,BE-BCE_KBO-0443262185,325329.956628755
2019,BE-BCE_KBO-0472089102,392872.237820061
2018,BE-BCE_KBO-0472089102,340413.38653694
2017,BE-BCE_KBO-0472089102,407097.45654345
2016,ML-NIF-400100027H,2137638927621.74
2020,GB-CHC-290767,517947.954170759
2019,GB-CHC-290767,227655.762150501
2019,BE-BCE_KBO-0442168263,2448234.54468695
2018,BE-BCE_KBO-0442168263,2451256.14845536
2017,BE-BCE_KBO-0442168263,1828753.77095527
2018,US-EIN-042347643,4137476.19058716
2017,US-EIN-042347643,2842617.16559384
2016,US-EIN-042347643,9001134.20658519
2015,US-EIN-042347643,79542170.4782462
2016,MW-CNM-21,399791.487791746
2015,MW-CNM-21,439004.978420736
2014,MW-CNM-21,198966.570774075
2013,MW-CNM-21,346393.084816563
2020,BE-BCE_KBO-0408643875,478978.016293882
2019,BE-BCE_KBO-0408643875,5642799.76723769
2018,BE-BCE_KBO-0408643875,4704152.60107993
2017,BE-BCE_KBO-0408643875,4613471.03075713
2020,GB-CHC-272465,81542.7613126045
2019,GB-CHC-272465,769241.319171646
2018,GB-CHC-272465,530353.412683949
2017,GB-CHC-272465,356901.998685077
2016,GB-CHC-272465,1072142.55203456
2015,GB-CHC-272465,278260.426685712
2020,US-EIN-04-2103547,4969666.33
2017,NP-SWC-27693,24788.5436217652
2020,GB-COH-01926828,727141.881900558
2019,GB-COH-01926828,2215959.44623726
2018,GB-COH-01926828,6927408.64677694
2017,GB-COH-01926828,3876820.85564412
2016,GB-COH-01926828,3290361.4781601
2015,GB-COH-01926828,605806.448985955
2014,GB-COH-01926828,467478.858459336
2013,GB-COH-01926828,171237.608710609
2012,GB-COH-01926828,117550.936012452
2011,GB-COH-01926828,2147.82507990871
2020,DK-CVR-DK-CVR-37295728,253112.546847366
2019,DK-CVR-DK-CVR-37295728,1000012.97108529
2020,GB-COH-09288843,8239000
2019,GB-COH-09288843,15141000
2018,GB-COH-09288843,36890779
2017,GB-COH-09288843,41186638
2016,GB-COH-09288843,15850166
2015,GB-COH-09288843,5e+06
2016,GB-CHC-327519,15394.7584322334
2015,GB-CHC-327519,13899.8678760825
2014,GB-CHC-327519,14960.9379754844
2013,GB-CHC-327519,4254.8516790054
2012,GB-COH-4905100,550901.600786211
2011,GB-COH-4905100,374844.50867903
2019,BE-BCE_KBO-0410757386,1784706.38704863
2018,BE-BCE_KBO-0410757386,1696888.80998925
2017,BE-BCE_KBO-0410757386,1473148.86320577
2018,SE-ON-802005-9823,485044785.828263
2019,BE-BCE_KBO-0432235661,2544063.52714466
2018,BE-BCE_KBO-0432235661,3958076.23443222
2017,BE-BCE_KBO-0432235661,3085085.80770235
2020,GB-CHC-1089490,578361.019637234
2019,GB-CHC-1089490,606200.229598075
2018,GB-CHC-1089490,416060.291697865
2017,GB-CHC-1089490,573946.100891042
2016,GB-CHC-1089490,485017.712087507
2015,GB-CHC-1089490,303205.534807346
2013,GB-COH-03788027,1595255.69581597
2012,GB-COH-03788027,5244819.5321788
2019,DE-CR-VR32914,1636500.67452385
2018,DE-CR-VR32914,1769988.79609972
2017,DE-CR-VR32914,1612288.45089901
2020,GB-CHC-1074937,7406.01790467784
2019,GB-CHC-1074937,108119.869096739
2018,GB-CHC-1074937,275252.334731557
2017,GB-CHC-1074937,556296.933966314
2016,GB-CHC-1074937,671408.328027329
2015,GB-CHC-1074937,292429.547814415
2014,GB-CHC-1074937,441165.066626981
2013,GB-CHC-1074937,226883.957201557
2012,GB-CHC-1074937,167525.409218047
2011,GB-CHC-1074937,58042.05857742
2015,IN-MCA-U74999DL2004NPL131340,2130382071.55238
2014,IN-MCA-U74999DL2004NPL131340,3465723829.96885
2013,IN-MCA-U74999DL2004NPL131340,2042378380.60036
2019,NL-KVK-41208813,779245.536259942
2018,NL-KVK-41208813,766567.662152473
2017,NL-KVK-41208813,1311283.2420635
2016,NL-KVK-41208813,1391246.34728158
2020,GB-CHC-1050327,311279.604738755
2019,GB-CHC-1050327,253594.780585515
2018,GB-CHC-1050327,226958.724625376
2017,GB-CHC-1050327,216828.982221909
2016,GB-CHC-1050327,369389.373823717
2015,GB-CHC-1050327,413782.273434934
2014,GB-CHC-1050327,275503.846599824
2013,GB-CHC-1050327,181177.315449444
2018,XM-DAC-47056,3610997.01
2017,XM-DAC-47056,7672545.18
2016,XM-DAC-47056,5340326.3
2015,XM-DAC-47056,8806785.85
2014,XM-DAC-47056,9975643.81
2015,GB-CHC-1133342,58896.0815065215
2014,GB-CHC-1133342,91112.0082207868
2013,GB-CHC-1133342,147026.301771805
2012,GB-CHC-1133342,113928.202717043
2011,GB-CHC-1133342,31196.3508322422
2010,GB-CHC-1133342,38792.6650500954
2019,NL-KVK-41081480,48561.6591886202
2018,NL-KVK-41081480,68258.2402528533
2020,US-EIN-941191246,1191050.74033846
2019,US-EIN-941191246,980429
2016,US-EIN-941191246,889932.52
2015,US-EIN-941191246,2878000.3
2014,US-EIN-941191246,3331917.17
2013,US-EIN-941191246,3752236.39
2012,US-EIN-941191246,3920733.99
2011,US-EIN-941191246,888353.11
2019,TZ-TRA-116315386,343826568034.178
2018,TZ-TRA-116315386,172374208941.028
2019,US-EIN-262681792,1387849.69353414
2018,US-EIN-262681792,4326537.77946778
2017,US-EIN-262681792,10599928.2671042
2016,US-EIN-262681792,4526981.93744657
2020,MZ-NUIT-50039061,2833327.67029428
2019,MZ-NUIT-50039061,4361794.78643587
2018,MZ-NUIT-50039061,2196794.99430714
2017,MZ-NUIT-50039061,1669575.27214149
2019,XM-DAC-47080,6874225.84280685
2018,XM-DAC-47080,2916221.13036118
2017,XM-DAC-47080,2388619.49634169
2020,XI-IATI-CWSEC,-2286833.49965667
2019,XI-IATI-CWSEC,3447409.27950813
2018,XI-IATI-CWSEC,9342122.0753661
2017,XI-IATI-CWSEC,3482720.91448862
2020,FR-RCS-78049888700022,416621.066361847
2019,FR-RCS-78049888700022,259813.773601913
2018,GB-CHC-1129603,22848.0068692522
2017,GB-CHC-1129603,80595.9638271014
2016,GB-CHC-1129603,37595.7220586996
2015,GB-CHC-1129603,16071744965.6388
2014,GB-CHC-1129603,5310946503.50238
2020,GB-CHC-206504,30181.746074739
2019,GB-CHC-206504,55225.653733056
2019,ET-MFA-0001989741,355027.406661272
2018,ET-MFA-0001989741,415906.503426993
2017,ET-MFA-0001989741,659902.63712343
2016,ET-MFA-0001989741,46061.0702150601
