publisher,reporting_org_name,reporting_org_ref,total.spend
civic_admin,Center for Civilians in Conflict,US-EIN-75-3130860,9294005.5739
civicus,CIVICUS World Alliance for Citizen Participation,ZA-NPO-029-864,2848878.7
clasp,Collaborative Labeling and Appliance Standards Program,US-EIN-33-1112770,3909939
clerd-prpi,Centre for Legal Research and Development,NG-CAC-54522,117368.926741
clientearth-1,ClientEarth,GB-COH-02863827,1895633.818282
climate_centre,Red Cross Red Crescent Climate Centre,NL-KVK-27267681,1435503.326653
cnepal,CARE Nepal,NP-IRD-302274734,349974.923350487
cocnl_publisher,COC Nederland,NL-KVK-40530156,8207770.9109
coffey,"Coffey International Development Ltd, A Tetra Tech Company",GB-COH-3799145,14004303.345216
commonwealthsecretariat,The Commonwealth Secretariat,XI-IATI-CWSEC,5533891.79940806
concern_worldwide,Concern Worldwide,IE-CHY-20009090,16936617.903
concernuk,Concern Worldwide (UK),GB-CHC-1092236,29072564.1132
concordis,Concordis International,GB-COH-04930461,422909.58883
cordaid,Cordaid,NL-KVK-41160054,51222045.988014
cowater,CowaterSogema International Inc,CA-CRA_ACR-101182509,1102511.223733
cowi,COWI,DK-CVR-44623528,31675.597932
cowi,COWI A/S,DK-CVR-44623528,14805890.1936
cprojects,Charity Projects Ltd (Comic Relief),GB-CHC-326568,24715795.3906342
cr,Conciliation Resources,GB-CHC-1055436,1391466.120759
crane,CRANE,UG-NGB-5914-9186,1911466.4229
crisisgroup,International Crisis Group,US-EIN-52-5170039,151534.247027
crs,CATHOLIC RELIEF SERVICES,US-EIN-13-5563422,11986305.06
csom1,CARE International-Somalia,KE-NCB-218/051/9384/74,1713198.45448263
cssf,"Conflict, Stability and Security Fund (CSSF)",GB-GOV-52,577372115.7
dai,Dorcas Aid International,NL-KVK-41236410,5452953.826848
dai-e,DAI Europe,GB-COH-1858644,30129397.1184063
danida,"'Ministry of Foreign Affairs, Denmark'",XM-DAC-3-1,2547860356.62356
dawuro_da,Dawuro Development Association,ET-CSA-0976,199791.9156
dca,DanChurchAid,DK-CVR-36980214,5042305.395963
dcaf,DCAF,CH-FDJP-109458452,3317411.781304
dcapitalpartners,Volta Capital,GB-COH-07627789,1474012.2349
dciecpatnl,Defence for Children International Netherlands - ECPAT Netherlands,NL-KVK-41208813,979839.38558
dcms,"UK Department for Digital, Culture, Media & Sport",GB-GOV-12,8886333.440392
ddp,Disability and Development Partners,GB-CHC-1046001,202508.220726
dec-uk,Disasters Emergency Committee,GB-CHC-1062638,39655567.2979
defra_transparency,"Department for Environment, Food, and Rural Affairs",GB-GOV-7,45735046.997393
deltares,Deltares,NL-KVK-41146461,652473.9298
dfid,Department for International Development,GB-GOV-1,11499786351.753
dggf_financing_local_smes,Stichting Fondsbeheer DGGF Lokaal MKB,NL-KVK-61172863,34569622.954
dgmh,David Gordon Memorial Hospital,MW-MRA-20120896,14517.9814
dhrc_nepal,Nepal Disabled Human Rights Center,NP-SWC-10136,21351.118864
dhsc,UK - Department of Health and Social Care (DHSC),GB-GOV-10,152682139.041627
diakonia802017-3517,Diakonia,SE-ON-802017-3517,282789.8532
dit,UK - Department for International Trade,GB-GOV-15,1702672.6935
dki1151219,DeafKidz International,GB-CHC-1151219,81538.590689
dkt_ethiopia,DKT Ethiopia,ET-CSA-8744,3894748.09
dla,"Discovery Learning Alliance, Inc.",US-EIN-522043740,5362608.74
dps-nampula,Direcção Provincial de Saúde de Nampula,MZ-NUIT-500004037,11723.9604
drc,Danish Refugee Council,DK-CVR-20699310,8482429.799196
dri,Democracy Reporting International gGmbH,DE-CR-RA000217-HRB121747B,42101.750779
ebrd,European Bank for Reconstruction and Development,XI-IATI-EBRD,855735918.434078
ec-devco,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,6210141693.65266
ec-echo,Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO),XI-IATI-EC_ECHO,2302344199.89978
ec-fpi,European Commission ¿ Service for Foreign Policy Instruments,XI-IATI-EC_FPI,394455815.372245
ec-near,European Commission ¿ DG Neighbourhood and Enlargement Negotiations,XI-IATI-EC_NEAR,3420893095.2157
ecdpm,European Centre for Development Policy Management (ECDPM),NL-KVK-41077447,8101735.6706
ecuk,Ecorys UK,GB-COH-01650169,862235.722294
edt_kenya,Education development Trust,KE-RCO-270901,10368033.6232
edt_rwanda,Education Development Trust,RW-RGB-002RGB17,6781219.495
edukans_foundation,Edukans,NL-KVK-32092131,803110.8404
ejc,European Journalism Centre,NL-KVK-41078390,3924192.2632
emms,EMMS International,GB-SC-SC032327,789904.187702
energy_saving_trust,Energy Saving Trust,GB-COH-02622374,1296546.677857
ethiopiaiduk,Ethiopiaid,GB-CHC-802353,2083657.046072
f-aids,Frontline AIDS,GB-CHC-1038860,
f2a,Faith to Action Network,KE-NCB-2180511403539790,517994.8884068
fa,Farm Africa,GB-COH-01926828,3553800.431601
fao,Food and Agriculture Organization (FAO),XM-DAC-41301,510959457.890002
fcam,Fondo Centroamericano de Mujeres - FCAM (Central American Women's Fund),NI-MIGOB-3602,2001242.804121
fci,FARM CONCERN INTERNATIONAL,KE-RCO-C110031,59137.89028
fco,UK - Foreign & Commonwealth Office,GB-GOV-3,1421651335.75372
fh,Food for the Hungry UK,GB-CHC-328273,147896.785495
fhfuk,The Fred Hollows Foundation (UK),GB-CHC-1140288,151023.214798
fida,FIDA,KE-NCB-218/051/93132/90,16942.281062
fifty_eight,50 Eight Limited,GB-COH-07291220,267816.085267
fimi_iiwf_2019,International Indigenous Women's Forum,PE-SUNARP-12623829,2750809
finland_mfa,Ministry for Foreign Affairs of Finland,FI-3,761885025.095612
fms,Fondo Mujeres del Sur,XI-IATI-359A08,1689582.6552
fo_germany,Germany - Federal Foreign Office,XM-DAC-5-7,2687498723.02635
foenl,Milieudefensie,NL-KVK-40530467,3184409.6625
fomin,Multilateral Investment Fund,XI-IATI-MIF,77286080
foncaba,FORMATION DE CADRES AFRICAINS KADERVORMING VOOR AFRIKANEN,BE-BCE_KBO-0409597544,64684.764804
france,MAEDI,FR-6,2931901.5407451
free_press_unlimited,Free Press Unlimited,NL-KVK-52957535,6929205.7934
freeagirl,Free a Girl,NL-KVK-34308169,443139.3208
friendsofpwyf,Friends of Publish What You Fund,US-EIN-47-4128047,4590.58
ftm-291333,Feed the Minds,GB-CHC-291333,196500.22362
fwf,Fair Wear Foundation,NL-KVK-34111374,16107485.240308
gac-amc,"Foreign Affairs, Trade and Development Canada (DFATD)",CA-3,2282562354.22609
gain,The Global Alliance for Improved Nutrition,30001,9146797.4
gavi,The Global Alliance for Vaccination and Immunisation,47122,468231476
gb-chc-220949,British Red Cross,GB-CHC-220949,42680747.335236
gdi,Global Development Incubator,US-EIN-14-1945286,42832
gecfundmanagerpwc,Girls’ Education Challenge – Fund Manager PwC,GB-COH-03580586-GEC,96183844.903
gi-jhu,Johns Hopkins University,US-EIN-52-0595110,48536
gichd,Geneva International Centre for Humanitarian Demining,CH-FDJP-CHE109506789,254160.8993
gif,Global Innovation Fund,GB-CHC-1171353,5902497.4589
giro555,Stichting SHO - Giro555,NL-KVK-27302841,2150929.6732
globalcanopy,Global Canopy,GB-CHC-1089110,842302.2131
globalgiving,GlobalGiving,US-EIN-300108263,148869321
goal,GOAL UK,GB-CHC-1107403,4571540.3467
gppac,GPPAC,NL-KVK-41217404,1464786.3285
grc2018,Global Rights Compliance,NL-KVK-70048436,98445.41682
guttmacher,Guttmacher Institute,US-EIN-13-2890727,3836315.21
ha-i,Heartland Alliance International,US-EIN-US-EIN-300739799,182335.3102
hai,Health Action International,NL-KVK-41207580,475823.777
halo,The HALO Trust,GB-CHC-1001813,4892370.617302
hdcentre,Centre for Humanitarian Dialogue,CH-FDJP-CHE-105181636,1697750.009896
healthnet,HealthNet TPO,NL-KVK-41211943,290025.9747
hefoundation,Healthy Entrepreneurs Foundation,NL-KVK-58183167,47149.9842
helpage_international,HelpAge International,GB-COH-1762840,19996880.6059
hewlett-foundation,The William and Flora Hewlett Foundation,US-EIN-941655673,127487651
hfc,Hope For Children,GB-CHC-1161729,148096.780834
hhc,Hope and Homes for Children,GB-CHC-1089490,714604.617805
hif,Stichting Health Insurance Fund,NL-KVK-34234456,450724.7382
hiuk,HIUK,GB-CHC-1082565,566704.19078
homeoffice,UK - Home Office,GB-GOV-6,382803912.1
hp_12,HealthProm,GB-COH-4887855,164731.227089
hpa,Health Poverty Action,GB-CHC-1837621,492485.66557
hqai,Humanitarian Quality Assurance Initiative,CH-FDJP-258577051,1393244.70784
iadb,Inter-American Development Bank,XI-IATI-IADB,8842617433
ibfd,International Bureau of Fiscal Documentation (IBFD),NL-KVK-41197411,105364.7496
ibis_denmark,Oxfam IBIS,DK-CVR-88136411,9252893.959631
icco-cooperation,Foundation ICCO,NL-KVK-56484038,7255832.474
icf,ICF Consulting Services Ltd.,GB-CH-4161656,217469.672757
icnl_org,International Center for Not-for-Profit Law,US-EIN-52-1818273,466366
icrc,International Committee of the Red Cross,XM-DAC-21016,1421337186.32935
icva,International Council of Voluntary Agencies,CH-FDJP-CHE100871337,117627.84
idi,INTOSAI Development Initiative,NO-BRC-980997278,8731954.2332
idlo,International Development Law Organization (IDLO),XM-DAC-47059,44162609.5545
idrccrdi,International Development Research Centre,XM-DAC-301-2,94318200.9981999
ids,The Institute of Development Studies,GB-COH-877338,7909900.957151
ieu,Internews Europe,GB-CHC-1148404,441624.746265
ifad,International Fund for Agricultural Development,XM-DAC-41108,645069225.05454
ifrcrcs,International Federation of Red Cross and Red Crescent Societies,XM-DAC-21018,801945106.171135
ihedelft,IHE Delft Institute for Water Education,NL-KVK-41146484,3700943.5683
imc_uk,International Medical Corps UK,GB-CHC-1093861,4091746.160311
imcw_admin,IMC WORLDWIDE LTD,GB-COH-02651349,1277156.484912
imdmozambique,Instituto para Democracia Multipartidária (IMD Moçambique),MZ-MOJ-100717344,510930.7599
inasp,International Network for the Availability of Scientific Publications,GB-CHC-1106349,742534.3367
ine_benin,"Institut National de l'Eau, Université Abomey-Calavi, Bénin",BJ-IFU-4201710116446,293495.1315
instiglio,Instiglio,US-EIN-45-5015494,359910
integrity_action,Integrity Action,GB-COH-4884328,59394.446759
international-alert,International Alert,GB-COH-2153193,410347.628815
intrac,INTRAC,GB-CHC-1016676,137215.838966
ipao,Panos Institute West Africa,SN-NINEA-621108990A0,77801.6294
ipas,Ipas,US-EIN-56-1071085,8398974.082032
ipe,Irrawaddy Policy Exchange,JE-FSC-NPO_1108,192626.8914
ippf,International Planned Parenthood Federation,GB-CHC-229476,60227860.883707
iraq_foundation,Iraq Foundation,US-EIN-521750875,487111.2
irc,IRC International Water and Sanitation Centre,NL-KVK-41151952,6855893.75625
irc_inc,International Rescue Committee Inc.,US-EIN-13-5660870,91878049.0711061
irc_uk,IRC-UK,GB-CHC-1065972,50236796.603291
irise_int,Irise International,GB-CHC-1157722,49904.399138
irw,Islamic Relief Worldwide,GB-CHC-328158,910289.490301
issafrica,Institute for Security Studies,ZA-NPO-006-981,1024836.6117
itad,Itad Limited,GB-COH-1869600,296790.647018
itc,International Trade Centre (ITC),XM-DAC-45001,31665266
iucn_nl,IUCN Netherlands Committee,NL-KVK-41180885,6241139.083795
iwda,International Women's Development Agency,AU-ACNC-19242959685,4932335.36223
jocc_uk,Joshua Orphan and Community Care,GB-CHC-1114727,11158.1502
kidasha,Kidasha,GB-CHC-1106156,45514.1022
kingscollegelondon,KING'S COLLEGE LONDON,GB-COH-RC000297,1044037.148652
kit,Royal Tropical Institute,NL-KVK-33185213,734834.2221
kmss,Karuna Mission Social Solidarity,MM-MHA-1/Local/0047,419945.094599
knust,Kwame Nkrumah University of Science and Technology,XI-GRID-grid.9829.a,337742.17
kpmgea,KPMG Advisory Limited Tanzania,TZ-BRLA-36057,20449755.943954
kpmgllp,KPMG LLP,GB-COH-OC301540,4850216.441316
ksrelief291,King Salman Humanitarian Aid and Relief Centre,XM-OCHAS-HPC6770,196929762
lbg,"The Louis Berger Group, Inc.",US-EIN-22-1754524,642925.134487
lcd_admin,Leonard Cheshire,GB-CHC-218186,1608023.0503
lcdi_admin,Link Community Development International,GB-CHC-1048007,1875855.0704
lepra,Lepra,GB-CHC-213251,99132.4922
lhcf,LAMB Health Care Foundation,GB-CHC-1101217,6278.5
lts,LTS International Limited,GB-COH-SC100833,2308606.678554
mag,MAG,GB-CHC-1083008,6137703.2275
mainline,Mainline Foundation,NL-KVK-41209946,725328.3037
malariaconsortium,Malaria Consortium,GB-CHC-1099776,36543921.7434
mamac,Mama Cash,NL-KVK-41202535,4669838.569
manniondaniels,Mannion Danniels,GB-COH-04105827,78883041.7185185
manniondaniels,MannionDanniels,GB-COH-04105827,282312.777614
marysmeals,Mary's Meals,GB-SC-SCO45223,1163608.2177
mce,MERCY CORPS EUROPE,GB-SC-SC030289,42193515.7477784
mcn,Mercy Corps Netherlands,NL-KVK-70333564,124088.477557
mdf,MDF Global,NL-KVK-56821743,900512.811
medair,Medair,CH-FDJP-106064950,1172732.1339
mefbenin,Ministère de l'Economie et des Finances du Benin,XM-DAC-236,6840152.2609
mfat,New Zealand Ministry of Foreign Affairs and Trade,NZ-1,472259919.635585
millenniumchallenge,Millennium Challenge Corporation,US-18,577473307.92
minbuza_nl,Ministry of Foreign Affairs (DGIS),XM-DAC-7,3597512504.894
mmh,Mulanje Mission Hospital,MW-MRA-20125995,85426.5267
mmr_admin2,Musalaha Ministry of Reconciliation,IL-RA-580166452,7200
mofaic_uae,UAE- Ministry of Foreign Affairs and International Cooperation,XM-DAC-576,1.7e+08
mondefemmes,Le Monde selon les femmes asbl,BE-BCE_KBO-0430826290,1890.1773
motivation,Motivation,GB-CHC-1079358,186599.380716
mrg,Minority Rights Group,GB-CHC-282305,73024.392181
msi,Marie Stopes International,GB-COH-1102208,90343577.2219467
mvo_nederland,MVO Nederland,NL-KVK-30195730,2423753.1252
namati_inc,"Namati, Inc",US-EIN-45-2796201,922923.80375
nathan,Nathan Associates London Ltd.,GB-COH-02768268,6052819.129145
ncea,Netherlands Commission for Environmental Assessment,NL-KVK-41185216,2111509.9863
ndsicde,Niger Delta Stakeholders Initiative for Community Development and Empowerment,NG-CAC-73022,665193.474
neem,Neem Foundation,NG-CAC-83813,174053.810271
nimd-hq,NIMD,NL-KVK-27189542,6921668.6693
nl-kvk-41207989,Aidsfonds - Soaaids Nederland,NL-KVK-41207989,29560110.1796
nl-kvk-54436222-27541,CNV Internationaal,NL-KVK-54436222,3903639.5332
nlrc,The Netherlands Red Cross,NL-KVK-40409352,53470811.2158
nmhiati,Nkhoma Mission Hospital,MW-MRA-20123139,13293.3183
nned,Northern Network for Education Development,GH-DSW-2000,6377.4384
nnjs_nepal,Nepal Netra Jyoti Sangh,NP-SWC-24,2261.063648
norad,Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,3811114760.62561
npa,Norwegian People's Aid,NO-BRC-871033552,10720475.4653
nrc,Norwegian Refugee Council,NO-BRC-977538319,113433174.493197
nso,Netherlands Space Office,XI-IATI-NSO,2687774.8425
nswp,Global Network of Sex Work Projects,GB-COH-SC349355,116106.100462
odakorea,The Export-Import Bank of Korea(Economic Development Cooperation Fund),KR-GOV-021,1342218452.59981
odi,Overseas Development Institute,GB-CHC-228248,4311042.481033
odi,Overseas Development Institute (ODI),GB-CHC-228248,913521.75
odi_sales_ltd,ODI Sales Limited,GB-COH-07157505,207262.0749
ofid,The OPEC Fund for International Development (OFID),XI-IATI-OFID,202354012.358317
oisl_gh,Opportunity International Savings and Loans Ltd,GH-RGD-99389,79942.8848
onl,Oxfam Novib,NL-KVK-27108436,153244812.8167
open_university,The Open University,GB-CHC-000391,2751037.197821
opportunity-international-uk,Opportunity International,GB-COH-05322719,249241.3816
options,Options Consultancy Services,GB-COH-2695347,9647568.214
orbis_africa,Orbis Africa,ZA-PBO-930040668,154975.668675
orbis_ethiopia,Orbis Ethiopia,ET-CSA-1063,663441.447787
orbis_international,Orbis International,US-EIN-237297651,974226.042543
orbis_uk,Orbis Charitable Trust,GB-CHC-1061352,878164.138667
oxfamgb,Oxfam GB,GB-CHC-202918,165548157.293421
oxfamus,Oxfam America,US-EIN-23-7069110,35784903.3
oxsol,Oxfam Solidarité-Solidariteit,BE-BCE_KBO-0408643875,912574.489453
pa,Practical Action,GB-COH-871954,37586366.724104
pacam,Palliative Care Association of Malawi,MW-NBM-NGO/L/18/024,61050.14406
palladium,Palladium,GB-COH-2394229,511606.0839
partos_nl,Partos,NL-KVK-34214586,624497.5088
pasgr,Partnership for African Social and Governance Research,KE-RCO-CPR/2011/63463,1003654.6403
pax,PAX,NL-KVK-30214009,21092153.8069
pcst,Palliative Care Support Trust,MW-RG-2977,140426.1867
peas,Promoting Equality in African Schools,GB-CHC-1126550,1830717.6782
phase_worldwide,PHASE Worldwide,GB-CHC-1112734,133389.11833
pin,People in Need,CZ-ICO-25755277,584170208.203116
plama,Plataforma Moçambicana da Água,MZ-NUIT-700179850,294709.357855
plan_uk,Plan International UK,GB-COH-1364201,31117027.651271
plannlno,Plan International Netherlands,NL-KVK-41198890,36583187.7862
pmo-us,"Promundo is a global leader in promoting gender justice and preventing violence by engaging men and boys in partnership with women and girls. We believe that working with men and boys to transform harmful gender norms and unequal power dynamics is a critical part of the solution to achieve gender equality. For the empowerment of women and girls to continue advancing, men and boys must see themselves as allies in the process. Men and boys also benefit when harmful norms are challenged. Our research, programs, and advocacy efforts show that promoting healthy masculinity (or positive notions of “what it means to be a man”) and femininity (or “what is means to be a woman”) leads to improvements in men’s own lives, and in the lives of women and girls.",US-EIN-26-1931968,532669.44
populationcouncil,"The Population Council, Inc.",US-EIN-13-1687001,25000
practica,PRACTICA Foundation,NL-KVK-09119363,18316.368356
pri,PENAL REFORM INTERNATIONAL,GB-COH-04154075,556175.955805
pri_icf,PRI Association,GB-COH-7207947,66094.711275
prosperityfund,UK - Prosperity Fund,GB-GOV-50,427611.0552
protos,Protos,BE-BCE_KBO-0417299047,544284.173807
psi,Population Services International,XI-IATI-21032,1326196.592739
pskenya_19,Population Services Kenya,KE-NCB-2180511304359047,42135223.53
pwc,PricewaterhouseCoopers LLP,GB-COH-03580586,31819791.35398
pwcplindia,PricewaterhouseCoopers Private Limited,IN-MCA-U74140WB1983PTC036093,2183262.9874
pwyf,Publish What You Fund,GB-COH-07676886,762052.849601
qrfed,Queen Rania Foundation for Education and Development,JO-MSD-2013011100066,1533755.502562
rainforest-alliance,"Rainforest Alliance, Inc.",US-EIN-13-3377893,939065.1994
rains,Regional Advisory Information and Network Systems,GH-DSW-1103,94015.576848
raleigh_int,Raleigh International,GB-CHC-1047653,472878.889516
rc,Railway Children,GB-CHC-1058991,406768417.04411
rc2africa,Railway Children Africa,TZ-TRA-110-664-087,165359.930284
rcel,Royal Commonwealth Ex-Services League,GB-CHC-1174874,2482490.0189
rcn,RCN Justice & Democratie,BE-BCE_KBO-0454555163,819702.4913
redbarnet,Red Barnet,DK-CVR-63407216,1873105.918918
restless,Restless Development,GB-CHC-1127488,2776382.234064
ri_kenya,RELIEF INTERNATIONAL- SOMALIA,KE-NCB-OP-218-051-2007-0183-4781,481457.9826
rnli_international,Royal National Lifeboat Institution (RNLI),GB-CHC-209603,131049.849686
ruaf,RUAF Foundation,NL-KVK-32102434,21981.3132
rutgers,Rutgers,NL-KVK-41193594,24823778.221
rvo,Netherlands Enterprise Agency,NL-KVK-27378529,118606306.508272
sac_kenya,Send a Cow Kenya,KE-NCB-2180511703310709,554482.877061
sacethiopia,Send a Cow Ethiopia,ET-MOT-0638,1267768.84137751
saferworld,Saferworld,GB-CHC-1043843,9372676.705545
sci,Save The Children International,GB-CHC-1076822,43212505.8117
sciaf,Scottish Catholic International Aid Fund,GB-SC-SC012302,1481114.72524
scibelgium,Service Civil International branche belge,BE-BCE_KBO-0410661673,18989.3748
scm,Syrian Center for Media and Freedom of Expression,FR-INSEE-83764263600018,37908.8703179999
scnl,Save the Children Netherlands,NL-KVK-41201463,26244534.5371
scuk,Save The Children UK,GB-COH-213890,69646706.0979001
sdc_ch,Swiss Agency for Development and Cooperation (SDC),﻿CH-4,746081.5616
sdc_ch,Swiss Agency for Development and Cooperation (SDC),CH-4,1503327560.9472
sddirect,Social Development Direct Limited,GB-COH-03846881,270668.6464
sdn,Stakeholder Democracy Network,GB-CHC-1148143,76558.7733
seefar,Seefar Enterprise,HK-CR-2091642,232995.75
sehatkahanicih,Sehat Kahani,PK-SEC-0105957,83175
self-help-africa,Self Help Africa,IE-CHY-6663,1470077966.69297
sendacow,Send a Cow,GB-CHC-299717,2095498.6023956
sense_international,Sense International,GB-CHC-1076497,902120.49628
sfcg,Search for Common Ground,BE-BCE_KBO-0453475391,2613087.373641
sida,Sweden,SE-0,4005247294.37648
simavi,Stichting Simavi,NL-KVK-40594571,17203305.702858
siren,Siren Associates,GB-COH-NI630024,414881.999186
sjg,Sonke Gender Justice,ZA-PBO-064-502,1796137.915772
slf,Stichting Liliane Fonds,NL-KVK-41081480,61062.430374
snv,SNV Netherlands Development Organisation,NL-KVK-41152786,13401100.817786
solidaridad,Solidaridad,NL-KVK-51756811,215.489197
solidaridad-europe,Solidaridad Europa,NL-KVK-41150939,398064.230157
solidaridad-waf,Solidaridad West Africa,GH-DSW-5574,110710.716831
somo,Stichting Onderzoek Multinationale Ondernemingen,NL-KVK-41223308,1724459.469986
soneb-benin,Société Nationale des Eaux du Benin,BJ-IFU-32000700033415,501513.1036
sosnl,SOS Children's Villages The Netherlands,NL-KVK-41197577,4630061.7363
spark,SPARK,NL-KVK-41213450,1021285.863664
